claim,source,date,label
"Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”",X posts,"By Grace Abels • April 11, 2025",True
"In 2024, “China made $1 trillion off trade with the United States.”",Donald Trump,"By Louis Jacobson • April 11, 2025",True
"“China cancela la venta de TikTok” y “a partir de finales de abril los usuarios estadounidenses tendrán que pagar una tarifa mensual obligatoria para seguir usando TikTok"".",TikTok posts,"By Maria Briceño • April 11, 2025",True
"The 2020 election was “rigged” and Chris Krebs, former Cybersecurity and Infrastructure Security Agency director, “baselessly” dismissed “election malfeasance.”",Donald Trump,"By Maria Ramirez Uribe • April 10, 2025",True
The U.S. is “taking in almost $2 billion a day in tariffs.”,Donald Trump,"By Amy Sherman • April 10, 2025",True
“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,Brooke Rollins,"By Maria Ramirez Uribe • April 9, 2025",True
On enacting country-by-country tariffs April 9.,Donald Trump,"By Amy Sherman • April 9, 2025",True
Men “have the lowest college attainment rate ever.”,Ruben Gallego,"By Claire Cranford • April 9, 2025",True
"Says Kevin Hassett, National Economic Council director, said on April 7, “Trump is considering a 90-day pause in tariffs for all countries except China.”",X posts,"By Madison Czopek • April 8, 2025",True
Video shows South African news outlet reporting Ukraine President Volodymyr Zelenskyy “purchased a controlling stake” in a mine.,Viral image,"By Ciara O'Rourke • April 4, 2025",True
"Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”",Facebook posts,"By Ciara O'Rourke • April 4, 2025",True
“White hats to investigate Wisconsin Supreme Court election.”,Viral image,"By Ciara O'Rourke • April 4, 2025",True
"Photo shows “Pope Francis, shaking the hand of the priest of the Church of Satan.”",Facebook posts,"By Ciara O'Rourke • April 4, 2025",True
"Says Elon Musk wrote on X, “The DOGE team has discovered tens of millions of dollars spent on golf by a single government official.”",Viral image,"By Ciara O'Rourke • April 4, 2025",True
"“Caitlin Clark stuns the globe, rejects Elon Musk’s $15 million offer.”",Facebook posts,"By Ciara O'Rourke • April 4, 2025",True
Video of gray skies in northern Michigan is proof of weather modification.,Facebook posts,"By Loreben Tuquero • April 4, 2025",True
“Trump ordena ataques militares en los túneles del Vaticano - Laboratorios de (adrenocromo) dirigidos por la CIA cerrados por las fuerzas especiales de EE.UU”.,Facebook posts,"By Maria Briceño • April 4, 2025",True
