ID,Headline,Description,Source,Category,Year,Fact-Check Label,Link
1,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Fake,https://www.politifact.com/factchecks/8260/
2,Breaking: Company removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/9016/
3,Breaking: Celebrity introduces law,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/3017/
4,Breaking: Celebrity removes law,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Sports,2025,Mostly False,https://www.politifact.com/factchecks/3770/
5,Breaking: Company introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FakeTimes,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/7788/
6,Breaking: Company removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,Sports,2025,Fake,https://www.politifact.com/factchecks/1022/
7,Breaking: Company bans law,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Health,2025,Fake,https://www.politifact.com/factchecks/7773/
8,Breaking: Celebrity removes product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/3000/
9,Breaking: Celebrity removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Sports,2025,Fake,https://www.politifact.com/factchecks/6576/
10,Breaking: Company removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Fake,https://www.politifact.com/factchecks/9136/
11,Breaking: Government introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Politics,2025,Fake,https://www.politifact.com/factchecks/2773/
12,Breaking: Company bans law,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Mostly False,https://www.politifact.com/factchecks/7101/
13,Breaking: Government introduces law,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,World,2025,Pants on Fire,https://www.politifact.com/factchecks/8335/
14,Breaking: Celebrity removes policy,"This news article claims that a major event has occurred, but experts have debunked it.",FalseDaily,Sports,2025,Mostly False,https://www.politifact.com/factchecks/5514/
15,Breaking: Celebrity bans product,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Mostly False,https://www.politifact.com/factchecks/1164/
16,Breaking: Government bans law,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/4305/
17,Breaking: Government bans law,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/5226/
18,Breaking: Government bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Entertainment,2025,Fake,https://www.politifact.com/factchecks/1718/
19,Breaking: Celebrity bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Fake,https://www.politifact.com/factchecks/4597/
20,Breaking: Celebrity bans policy,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/5651/
21,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Climate,2025,Mostly False,https://www.politifact.com/factchecks/9590/
22,Breaking: Company introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FalseDaily,Technology,2025,Fake,https://www.politifact.com/factchecks/4607/
23,Breaking: Company removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/3097/
24,Breaking: Government introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Sports,2025,Mostly False,https://www.politifact.com/factchecks/6480/
25,Breaking: Government bans law,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Fake,https://www.politifact.com/factchecks/8079/
26,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/8422/
27,Breaking: Celebrity removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Technology,2025,Mostly False,https://www.politifact.com/factchecks/8535/
