article_id,title,link,keywords,creator,video_url,description,content,pubDate,pubDateTZ,image_url,source_id,source_priority,source_name,source_url,source_icon,language,country,category,ai_tag,sentiment,sentiment_stats,ai_region,ai_org,duplicate
5b6658f9ef5e1a89b78859cc8d93e781,Could obesity drugs help with alcohol cravings? New study suggests potential,https://roanoke.com/life-entertainment/nation-world/wellness/weight-loss-drugs-alcohol-cravings-study-glp-1-semaglutide-ozempic-wegovy/article_08acad7d-c6fc-5f22-aa04-dc892fd352e5.html,,,,A new study suggests that medications that have transformed the treatment of obesity may also help people drink less alcohol.,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/1/2f/12f3399e-d6d8-5833-91d8-ac1828326740/67af447fcfcc2.image.jpg?resize=300%2C200,roanoke,17014,Roanoke,https://roanoke.com,,english,['united states of america'],['other'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
8015cf8dd9d1664f53d1761f7b498209,Could obesity drugs help with alcohol cravings? New study suggests potential,https://columbustelegram.com/life-entertainment/nation-world/wellness/weight-loss-drugs-alcohol-cravings-study-glp-1-semaglutide-ozempic-wegovy/article_5b225302-f51b-5804-9caa-2ad4ead40ff6.html,,['CARLA K. JOHNSON AP Medical Writer'],,A new study suggests that medications that have transformed the treatment of obesity may also help people drink less alcohol.,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.chicago2.vip.townnews.com/columbustelegram.com/content/tncms/assets/v3/editorial/5/b2/5b225302-f51b-5804-9caa-2ad4ead40ff6/67af4483c56ed.preview.jpg?crop=1763%2C926%2C0%2C124&order=crop%2Cresize&resize=1200%2C630,columbustelegram,237352,Columbus Telegram,https://columbustelegram.com,https://i.bytvi.com/domain_icons/columbustelegram.png,english,['united states of america'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
3399b11325d8342d96fbfaf69aff7e5b,"Nebraska ag, conservation groups slam Pillen's plan to merge two state departments",https://kearneyhub.com/news/state-regional/government-politics/nebraska-ag-conservation-groups-slam-pillens-plan-to-merge-two-state-departments/article_96f408d5-dac3-58bc-9607-2cc7405a28ba.html,,['ANDREW WEGLEY Lincoln Journal Star'],,"Nebraska Gov. Jim Pillen's plan to merge two state agencies to form the Department of Water, Energy, and Environment ran into opposition from key agricultural and conservation groups.",ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.chicago2.vip.townnews.com/kearneyhub.com/content/tncms/assets/v3/editorial/9/6f/96f408d5-dac3-58bc-9607-2cc7405a28ba/67ae9bed3caac.preview.jpg?crop=1763%2C926%2C0%2C125&order=crop%2Cresize&resize=1200%2C630,kearneyhub,50931,Kearney Hub,https://kearneyhub.com,https://i.bytvi.com/domain_icons/kearneyhub.jpg,english,['united states of america'],['politics'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
53fcce1d1b9975ffb69d0769ac747156,CDC Finds Undetected Bird Flu Infections in U.S. Dairy Veterinarians,https://www.messenger-inquirer.com/lifestyles/health/cdc-finds-undetected-bird-flu-infections-in-u-s-dairy-veterinarians/article_85c820cf-fdf0-54c1-9b51-95c2046cc3a0.html,,,,Key Takeaways,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.chicago2.vip.townnews.com/messenger-inquirer.com/content/tncms/assets/v3/editorial/3/5a/35aa61a1-a602-54f7-a22e-602c0fb04ac5/67af7a9de697a.image.jpg?resize=300%2C194,messenger_inquirer,29720,Owensboro Messenger And Inquirer,https://www.messenger-inquirer.com,,english,['united states of america'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
c1fb30f98bff201e9a60471c618d30cf,Inside the WGA Awards: Can First-Time Nominees Beat Out Veteran Scribes?,https://variety.com/2025/film/features/writers-guild-america-awards-2025-anora-complete-unknown-shogun-1236307324/,"['features', 'anora', 'shogun', 'wga awards', 'news']",['Todd Gilchrist'],,"By definition, the WGA Awards celebrate the starting point for all great TV shows and films: the writers. “Writers are the one group of workers in this industry whose job begins with a blank page,” says WGAW President Meredith Stiehm. “Without us, there is no script for directors to shoot, no lines for actors to [...]",ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://variety.com/wp-content/uploads/2025/02/wga-awards.jpg,variety,2021,Variety,https://variety.com,https://i.bytvi.com/domain_icons/variety.png,english,['united states of america'],['entertainment'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
61fd3fec79df528efebfd3e127b9437c,Vinicius Jr sends message after Manchester United transfer as true colours shown,https://www.manchestereveningnews.co.uk/sport/football/football-news/vinicius-jr-sends-message-after-31006809,['football news'],['newsdesk@men-news.co.uk (Stephen Killen)'],,Man United loanee Antony has continued his run of form with Real Betis,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://i2-prod.birminghammail.co.uk/incoming/article31007223.ece/ALTERNATES/s615/0_Manchester-City-v-Real-Madrid-CF-UEFA-Champions-League-202425-League-Knockout-Play-off-First-Le.jpg,manchestereveningnews,6508,Manchester Evening News,https://www.manchestereveningnews.co.uk,https://i.bytvi.com/domain_icons/manchestereveningnews.png,english,['united kingdom'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
f05cd2e00a9e1cb06c9b8f839d76f559,CDC Finds Undetected Bird Flu Infections in U.S. Dairy Veterinarians,https://www.newsargus.com/lifestyles/health/cdc-finds-undetected-bird-flu-infections-in-u-s-dairy-veterinarians/article_66ff0069-df3b-5aa0-9c2e-5045d8324abf.html,,,,Key Takeaways,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.newyork1.vip.townnews.com/newsargus.com/content/tncms/assets/v3/editorial/6/8a/68a4900a-74f1-5f6b-80f9-ff294513be3f/67af7a4d6fd98.image.jpg?resize=300%2C194,newsargus,82978,Goldsboro News Argus,https://www.newsargus.com,https://i.bytvi.com/domain_icons/newsargus.jpg,english,['united states of america'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
0defc07047386745ded183f6acd32e5b,Could obesity drugs help with alcohol cravings? New study suggests potential,https://nptelegraph.com/life-entertainment/nation-world/wellness/weight-loss-drugs-alcohol-cravings-study-glp-1-semaglutide-ozempic-wegovy/article_5894baf5-1dcc-5839-a2e7-6fa71f555d82.html,,['CARLA K. JOHNSON AP Medical Writer'],,A new study suggests that medications that have transformed the treatment of obesity may also help people drink less alcohol.,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://bloximages.chicago2.vip.townnews.com/nptelegraph.com/content/tncms/assets/v3/editorial/5/89/5894baf5-1dcc-5839-a2e7-6fa71f555d82/67af4484600f7.preview.jpg?crop=1763%2C926%2C0%2C124&order=crop%2Cresize&resize=1200%2C630,nptelegraph,172456,North Platte Telegraph,https://nptelegraph.com,https://i.bytvi.com/domain_icons/nptelegraph.png,english,['united states of america'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
ff0377e931297a403128ee7f669146e3,Vinicius Jr sends message after Manchester United transfer as true colours shown,https://uk.sports.yahoo.com/news/vinicius-jr-sends-message-manchester-163000504.html,['sports'],['Manchester Evening News'],,Man United loanee Antony has continued his run of form with Real Betis,ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,https://s.yimg.com/uu/api/res/1.2/2EMb7Zew4I3eGtXZnQ7DwA--~B/aD01Mzk7dz04MTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/manchester_evening_news_792/81bdd7ae8cfe586039394670297846c7,yahoo,17,Yahoo! News,https://news.yahoo.com,https://i.bytvi.com/domain_icons/yahoo.png,english,['united kingdom'],['sports'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
89f85a08a230d7055dcf3d6e8ba95be5,PN says it did put forward proposals on sexual health policy,https://www.independent.com.mt/articles/2025-02-14/local-news/PN-says-it-did-put-forward-proposals-on-sexual-health-policy-6736267874,,,,"The Nationalist Party said that it did present its proposals on the government's sexual health strategy.It was reacting to a PL statement that no effort was made by the Opposition to contribute during the consultation phase, which lasted several weeks, regarding the sexual health policy.The PN said: ""Robert Abela is so out of touch with the challenges faced daily by the Maltese and Gozitans that he allows and endorses his party's partisanship in a highly sensitive sector, such as sexual health,"" the PN said. ""While the PN has presented its positive proposals - which are publicly available because we prioritise serving the people - Robert Abela's Labour Party is only focused on scoring political points.""The PN said that the National Sexual Health Strategy being presented by Robert Abela's Government is arriving 15 years after the last strategy. ""This is yet another example of how Robert Abela reacts too little too late, leaving people to suffer in the meantime. This also demonstrates how Robert Abela and his colleagues are only concerned with themselves, rather than addressing the real needs of the Maltese and Gozitan people.""""In contrast, the PN is putting forward constructive suggestions to ensure that the National Sexual Health Strategy is more effective and forward-looking. This means taking a proactive approach, learning from best practices in other countries and proposing tangible measures to safeguard the public's health. If the Government truly cares about sexual health, it should embrace the PN's proposals and incorporate them into the National Strategy.""",ONLY AVAILABLE IN PAID PLANS,2025-02-14 16:30:00,UTC,,independent_mt,768999,Malta Independent,https://www.independent.com.mt,https://i.bytvi.com/domain_icons/independent_mt.png,english,['malta'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
